STATE_NAME,RECFIN_YEAR,RECFIN_PORT_NAME,RECFIN_TRIP_TYPE_NAME,AGENCY_WATER_AREA_NAME,AGENCY_FISHED_AREA_NAME,RECFIN_MODE_NAME,FISHERY_MANAGEMENT_PLAN,STOCK_COMPLEX_NAME,SPECIES_GROUP_NAME,SPECIES_NAME,SCIENTIFIC_NAME,AGENCY_LENGTH,AGENCY_LENGTH_UNITS,IS_AGENCY_LENGTH_WITHIN_MAX,AGENCY_WEIGHT,AGENCY_WEIGHT_UNITS,RECFIN_LENGTH_MM,RECFIN_IMPUTED_LENGTH,RECFIN_LENGTH_TYPE,RECFIN_IMPUTED_WEIGHT_KG,RECFIN_SEX_CODE,RECFIN_SEX_NAME,IS_RETAINED,CAUGHT_BY_OBSERVED_ANGLER,SOURCE_CODE
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,266,,T,0.39,,266,,,0.3678,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,305,,T,0.53,,305,,,0.5562,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,257,,T,0.31,,257,,,0.3314,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,302,,T,0.53,,302,,,0.5398,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,252,,T,0.25,,252,,,0.3123,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,285,,T,0.39,,285,,,0.4531,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,300,,T,0.46,,300,,,0.5291,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,339,,T,0.75,,339,,,0.7657,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,264,,T,0.31,,264,,,0.3595,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN > 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,258,,T,0.31,,258,,,0.3353,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,246,,T,0.26,,246,,,0.2903,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,325,,T,0.62,,325,,,0.674,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,354,,T,0.9,,354,,,0.8728,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,360,,T,0.91,,360,,,0.9183,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,284,,T,0.4,,284,,,0.4483,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,263,,T,0.34,,263,,,0.3554,,,RETAINED,,BIO
CALIFORNIA,2023,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",BOTTOMFISH,OCEAN <= 3 MILES,,PARTY/CHARTER BOATS,GROUNDFISH,OTHER ROCKFISH,ROCKFISH,CALIFORNIA SCORPIONFISH,SCORPAENA GUTTATA,251,,T,0.35,,251,,,0.3086,,,RETAINED,,BIO
